episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-21496.167575644024,-0.6134751020446354,166591123.57684535,4754.312887467047,-26333.22279360352,-0.7515189153425662,-16659.112357684535,-0.47543128874670476,51.09874429223744,35040,31536000
1,-13446.423432280262,-0.38374496096690247,185161520.01988706,5284.289954905453,-8376.694862571818,-0.23906092644325963,-18516.15200198871,-0.5284289954905453,33.79566210045662,35040,31536000
2,-10547.593809707512,-0.30101580507156145,191605471.55969954,5468.192681498274,-1934.640463445069,-0.05521234199329535,-19160.547155969958,-0.5468192681498276,22.702625570776256,35040,31536000
3,-10401.12381336722,-0.2968357252673293,190374099.91624054,5433.050796696362,-1764.837635110379,-0.050366370865022235,-19037.40999162406,-0.5433050796696364,23.667237442922374,35040,31536000
