episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-11166.704044162467,-0.3186844761461891,115757547.66593501,3303.582981333762,-2022.9835227688643,-0.05773354802422558,-11575.754766593502,-0.3303582981333762,10.465182648401825,35040,31536000
1,-11140.66075531338,-0.31794123160140925,115933898.26166286,3308.6158179698305,-1987.8662114547894,-0.056731341651107006,-11593.389826166283,-0.330861581796983,10.282534246575342,35040,31536000
2,-10981.217179994619,-0.3133909012555542,116656517.44616358,3329.2385115914262,-1675.9411896185543,-0.047829371849844586,-11665.651744616358,-0.33292385115914264,9.797374429223744,35040,31536000
3,-11181.393651687957,-0.3191037001052499,117252212.90958971,3346.23895289925,-1935.6551760768743,-0.05524130068712541,-11725.22129095897,-0.334623895289925,10.057077625570777,35040,31536000
4,-11128.503778326321,-0.3175942859111393,115844543.22828878,3306.0657314009354,-1980.9866944702349,-0.056535008403830904,-11584.454322828879,-0.33060657314009356,10.271118721461187,35040,31536000
