episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-9994.969341382872,-0.28524455882941985,198674482.38076052,5669.933857898417,-122.49044468969379,-0.00349573186899811,-19867.448238076053,-0.5669933857898417,27.257420091324203,35040,31536000
1,-9925.455680775203,-0.2832607214833106,197659274.1435376,5640.961020078128,-84.98394719664739,-0.00242534095880843,-19765.92741435376,-0.5640961020078128,27.748287671232873,35040,31536000
2,-9891.599671571044,-0.28229451117497273,196572646.9606948,5609.949970339463,-125.93464707260544,-0.0035940253159990137,-19657.264696069484,-0.5609949970339465,28.207762557077626,35040,31536000
3,-9952.52955443721,-0.2840333776951258,197548209.85916358,5637.791377259235,-150.23812295806016,-0.004287617664328201,-19754.820985916358,-0.5637791377259235,27.913812785388124,35040,31536000
4,-9982.315274155444,-0.2848834267738426,198623239.6303388,5668.471450637522,-102.30658527700625,-0.0029197084839328266,-19862.32396303388,-0.5668471450637522,28.065068493150687,35040,31536000
