episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-21651.350357598618,-0.6179038344063532,169036728.48424292,4824.107548066293,-26399.027866772947,-0.7533969140060772,-16903.672848424292,-0.4824107548066293,51.20433789954338,35040,31536000
1,-13155.578400097265,-0.37544458904387173,185017479.22984633,5280.1792017650205,-7809.4088772098985,-0.2228712579112414,-18501.747922984632,-0.5280179201765021,33.6986301369863,35040,31536000
2,-10512.553284124939,-0.30001579007205875,191723226.87276435,5471.553278332316,-1852.7838809734415,-0.052876252310885885,-19172.322687276435,-0.5471553278332316,22.09189497716895,35040,31536000
3,-10592.299493631312,-0.30229165221550547,189677081.93902868,5413.158731136663,-2216.8907933597557,-0.06326743131734462,-18967.70819390287,-0.5413158731136664,24.680365296803654,35040,31536000
