episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-16174.065423702494,-0.4615886251056648,206230018.42269367,5885.5598864923995,-284.4692547412279,-0.008118414804258787,-20623.001842269365,-0.5885559886492399,2.577054794520548,35040,31536000
1,-16184.415375736267,-0.4618840004490944,206256236.0052991,5886.308105174061,-291.34057897988083,-0.008314514240293404,-20625.62360052991,-0.5886308105174062,2.5856164383561646,35040,31536000
2,-16276.858987857946,-0.46452223138864,207019390.32003015,5908.087623288532,-300.19502310107544,-0.008567209563386856,-20701.939032003014,-0.5908087623288532,2.6027397260273974,35040,31536000
3,-16190.341433573387,-0.46205312310426333,206154767.8860726,5883.412325515771,-293.10721128570935,-0.00836493182893006,-20615.476788607262,-0.5883412325515771,2.5114155251141552,35040,31536000
4,-16251.298058939161,-0.4637927528236062,207077516.19304252,5909.746466696419,-285.7520486201687,-0.00815502421861212,-20707.751619304247,-0.5909746466696417,2.519977168949772,35040,31536000
