episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-17200.924681670564,-0.4908939692257581,196294105.44026753,5602.000726035032,-182.46266245765364,-0.005207267764202444,-19629.41054402676,-0.5602000726035035,8.632990867579908,35040,31536000
1,-17119.23366106593,-0.4885626044824752,195870215.9845958,5589.903424217917,-141.47017018795532,-0.004037390701711054,-19587.021598459578,-0.5589903424217916,8.72716894977169,35040,31536000
2,-17273.0248005833,-0.49295162102121287,196867420.65260997,5618.362461547088,-203.6362106360823,-0.005811535691669015,-19686.742065260994,-0.5618362461547087,8.541666666666666,35040,31536000
3,-17368.875581099423,-0.49568708850169585,198784605.2245907,5673.07663312188,-101.61557489499575,-0.0028999878680078693,-19878.46052245907,-0.5673076633121881,8.593036529680367,35040,31536000
4,-17301.790063002285,-0.4937725474601109,198047994.07521626,5652.054625434254,-100.86597923469222,-0.002878595297793728,-19804.799407521627,-0.5652054625434254,8.593036529680367,35040,31536000
