episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-16525.08146557903,-0.4716062062094472,197468549.1272583,5635.517954545043,-162.786545431907,-0.004645734744061273,-19746.854912725823,-0.5635517954545041,8.624429223744293,35040,31536000
1,-16679.181004986724,-0.47600402411491793,199671365.29790637,5698.383712839794,-117.15732879348887,-0.003343531072873541,-19967.136529790638,-0.5698383712839794,8.41324200913242,35040,31536000
2,-16471.623818726373,-0.4700805884339718,197482097.18524614,5635.904600035563,-105.61645512918074,-0.003014168239988035,-19748.209718524617,-0.5635904600035564,8.57876712328767,35040,31536000
3,-16697.270171733206,-0.4765202674581394,199527949.0771237,5694.290784164489,-164.2601257400706,-0.004687788976600189,-19952.79490771237,-0.569429078416449,8.296232876712327,35040,31536000
4,-16583.573020703596,-0.4732754857506734,197815444.7036038,5645.417942454446,-192.60403324320325,-0.005496690446438449,-19781.54447036038,-0.5645417942454446,8.641552511415524,35040,31536000
