episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-11416.290496578848,-0.32580737718546937,117182981.81803913,3344.2631797385598,-1892.0894628123654,-0.053997986952407685,-11718.298181803913,-0.33442631797385597,10.296803652968038,35040,31536000
1,-11235.70233335935,-0.32065360540409105,115679763.06309181,3301.363101115634,-1802.04301134309,-0.0514281681319375,-11567.976306309183,-0.33013631011156347,10.102739726027398,35040,31536000
2,-11178.68823511319,-0.3190264907281162,113944763.22345756,3251.8482655096336,-2004.604162258116,-0.05720902289549418,-11394.476322345758,-0.3251848265509634,10.276826484018265,35040,31536000
3,-11358.011248258043,-0.3241441566283688,116704132.58422384,3330.5973911022784,-1856.5503057678027,-0.0529837416029624,-11670.413258422383,-0.3330597391102278,10.28824200913242,35040,31536000
4,-11240.755073805427,-0.32079780461773477,115825708.55948706,3305.5282123141283,-1825.0738462164124,-0.05208544081667844,-11582.570855948705,-0.33055282123141283,10.185502283105023,35040,31536000
