episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-17039.005297508804,-0.4862729822348403,206594623.08815897,5895.965270780793,-294.12960760977126,-0.008394109806214934,-20659.4623088159,-0.5895965270780793,2.5371004566210047,35040,31536000
1,-17148.447581326796,-0.4893963350835273,207562450.33186868,5923.585911297622,-287.29049730050014,-0.008198929717480027,-20756.245033186868,-0.5923585911297622,2.5256849315068495,35040,31536000
2,-17082.82216724398,-0.48752346367705424,207144580.86743495,5911.660412883418,-288.6210581327421,-0.008236902343970951,-20714.45808674349,-0.5911660412883416,2.5513698630136985,35040,31536000
3,-17119.24665098719,-0.48856297519940606,207615729.84337175,5925.106445301705,-282.0513176861723,-0.008049409751317703,-20761.572984337174,-0.5925106445301704,2.4771689497716896,35040,31536000
4,-17034.14381827506,-0.4861342413891285,206285060.28459734,5887.1307158846275,-297.02313002258205,-0.008476687500644465,-20628.50602845973,-0.5887130715884626,2.5799086757990866,35040,31536000
