episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-6903.902862281343,-0.19702919127515248,115694810.5130844,3301.7925374738697,-2238.324673254249,-0.06387912880291806,-11569.481051308441,-0.33017925374738705,26.609589041095887,35040,31536000
1,-6843.654444046779,-0.19530977294654048,115110740.66196102,3285.12387733907,-2176.2348218974544,-0.06210715815917393,-11511.074066196103,-0.32851238773390706,26.64098173515982,35040,31536000
2,-6865.347777501441,-0.1959288749286941,115368503.12469152,3292.4801120060365,-2193.84524253373,-0.06260973865678453,-11536.850312469154,-0.3292480112006037,25.950342465753423,35040,31536000
3,-6954.774577316447,-0.19848100962661094,116618835.56637095,3328.163115478623,-2247.6655979957973,-0.06414570770535952,-11661.883556637096,-0.33281631154786234,25.98458904109589,35040,31536000
4,-6997.611375998038,-0.19970352100451022,115586106.14508858,3298.6902438666834,-2436.61213748722,-0.06953801762235216,-11558.610614508856,-0.32986902438666826,26.4041095890411,35040,31536000
