episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-14586.537675259646,-0.4162824679012456,206544028.3911146,5894.52135819391,-8518.672511407827,-0.2431127999831001,-20654.402839111463,-0.589452135819391,30.325342465753423,35040,31536000
1,-14498.193670050221,-0.41376123487586247,205669203.9670138,5869.554907734412,-8429.46694339906,-0.2405669789782837,-20566.920396701382,-0.5869554907734412,30.376712328767123,35040,31536000
2,-14486.459341576188,-0.4134263510723798,206204017.346168,5884.817846637215,-8352.51694853558,-0.23837091748103825,-20620.401734616804,-0.5884817846637216,30.191210045662096,35040,31536000
3,-14579.95546717577,-0.4160946194970254,206766433.98927087,5900.868549922114,-8483.267535424451,-0.24210238400183937,-20676.643398927088,-0.5900868549922115,30.470890410958905,35040,31536000
4,-14570.921555633962,-0.415836802386814,206338180.96808887,5888.646717125824,-8508.025014459034,-0.24280893306104548,-20633.818096808893,-0.5888646717125826,30.542237442922378,35040,31536000
